Hyperion
Neuromancer
Life, the universe and everything
The restaurant at the end of the galaxy
Mort
The amber Spyglass
The subtle knife
The golden compass
Prelude to foundation
Foundation
Chapterhouse: Dune
Heretics of Dune
Dune Messiah
God Emperor of Dune
Children of Dune
Dune
The Silmarillion
The return of the King
The Two Towers
The Hobbit
The Fellowship of the ring
The Reality Disfunction
The Demolished Man
Misspent Youth
Valis
The Peace War
Consider Phlebas
Red Dwarf
Caliban
2001: A space Odyssey
